,Time,Potential
0,0.0,-0.005000166478778777
1,0.01,-0.00500066731667162
2,0.02,-0.005002168852490756
3,0.03,-0.005004670439995123
4,0.04,-0.005008173529349931
5,0.05,-0.005012680510395411
6,0.06,-0.005018193146869624
7,0.07,-0.005024712527638571
8,0.08,-0.005032240482015497
9,0.09,-0.005040780115154669
10,0.1,-0.005050335836666441
11,0.11,-0.005060913138360189
12,0.12,-0.005072516293768607
13,0.13,-0.005085147701840279
14,0.14,-0.005098810552209314
15,0.15,-0.005113510123622009
16,0.16,-0.005129253821004491
17,0.17,-0.005146050532512831
18,0.18,-0.005163907509772266
19,0.19,-0.0051828294359330986
20,0.2,-0.005202821507133618
21,0.21,-0.00522389103102648
22,0.22,-0.005246047496681445
23,0.23,-0.005269302309150703
24,0.24,-0.005293666098780179
25,0.25,-0.005319146600191474
26,0.26,-0.0053457511777173046
27,0.27,-0.005373489254764991
28,0.28,-0.005402372525723865
29,0.29,-0.005432414873984407
30,0.3,-0.00546363029365356
31,0.31,-0.0054960298944012696
32,0.32,-0.005529623515687995
33,0.33,-0.005564422831042067
34,0.34,-0.005600441838561151
35,0.35000000000000003,-0.005637696906636563
36,0.36,-0.005676206115093079
37,0.37,-0.005715985849161654
38,0.38,-0.005757049620632874
39,0.39,-0.005799410828938492
40,0.4,-0.005843084002419775
41,0.41000000000000003,-0.0058880848342261986
42,0.42,-0.005934430199774822
43,0.43,-0.005982138175394563
44,0.44,-0.006031228058163232
45,0.45,-0.006081720386947112
46,0.46,-0.006133636964655699
47,0.47000000000000003,-0.006187000727232054
48,0.48,-0.0062418317104673045
49,0.49,-0.006298146544795236
50,0.5,-0.006355966225966227
51,0.51,-0.006415316280656796
52,0.52,-0.006476222301830226
53,0.53,-0.006538709705649427
54,0.54,-0.006602803722147539
55,0.55,-0.0066685293848890775
56,0.56,-0.006735911519609604
57,0.5700000000000001,-0.006804974731822283
58,0.58,-0.006875743393382073
59,0.59,-0.00694824168479237
60,0.6,-0.007022496658905816
61,0.61,-0.007098540553554381
62,0.62,-0.007176404682597667
63,0.63,-0.007256117482943613
64,0.64,-0.007337708354601183
