t,x1,y1,x2,y2,x3,y3
0,-1,0.25,0,0,1,-0.25
0.01,-0.994942663,0.254985376,-0.01000051,-0.009999301,1.004943173,-0.244986074
0.02,-0.989769692,0.259940066,-0.020004079,-0.019994412,1.009773771,-0.239945654
0.03,-0.984479583,0.264861817,-0.030013752,-0.029981138,1.014493335,-0.234880679
0.04,-0.979070885,0.269748271,-0.040032552,-0.039955278,1.019103437,-0.229792993
0.05,-0.973542189,0.274596963,-0.050063467,-0.049912619,1.023605656,-0.224684344
0.06,-0.967892137,0.279405322,-0.060109435,-0.059848935,1.028001572,-0.219556387
0.07,-0.96211943,0.284170666,-0.070173333,-0.069759981,1.032292763,-0.214410685
0.08,-0.956222834,0.288890208,-0.080257969,-0.079641493,1.036480803,-0.209248715
0.09,-0.950201185,0.29356106,-0.090366071,-0.089489188,1.040567256,-0.204071872
0.1,-0.944053416,0.298180209,-0.100500253,-0.099298752,1.044553669,-0.198881457
0.11,-0.937778529,0.302744566,-0.110663053,-0.109065857,1.048441582,-0.193678709
0.12,-0.931375653,0.307250918,-0.120856852,-0.118786141,1.052232505,-0.188464777
0.13,-0.924844003,0.311695975,-0.131083933,-0.128455225,1.055927936,-0.183240749
0.14,-0.918182933,0.316076336,-0.14134641,-0.138068704,1.059529343,-0.178007632
0.15,-0.911391906,0.320388533,-0.151646266,-0.147622156,1.063038173,-0.172766377
0.16,-0.90447054,0.324629001,-0.161985302,-0.157111139,1.066455842,-0.167517862
0.17,-0.897418585,0.328794112,-0.172365154,-0.1665312,1.069783739,-0.162262912
0.18,-0.890235954,0.332880168,-0.18278727,-0.17587788,1.073023223,-0.157002288
0.19,-0.882922721,0.336883416,-0.193252898,-0.185146717,1.076175619,-0.151736698
0.2,-0.875479123,0.340800056,-0.203763099,-0.194333254,1.079242222,-0.146466802
0.21,-0.867905595,0.344626254,-0.214318694,-0.203433052,1.082224289,-0.141193203
0.22,-0.860202739,0.34835815,-0.224920307,-0.21244169,1.085123046,-0.13591646
0.23,-0.852371345,0.351991873,-0.235568339,-0.221354782,1.087939685,-0.130637091
0.24,-0.844412425,0.355523556,-0.24626293,-0.230167993,1.090675355,-0.125355563
